Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
ATP13A2	2	BIALLELIC, autosomal or pseudoautosomal	Adult-onset lower-limb predominant spastic paraparesis;Spastic paraplegia 78, autosomal recessive, 617225;complicated hereditary spastic paraplegia						
ATP1A1	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Hypomagnesemia;Seizures;Intellectual disability	progressive?					
ATP2A2	2	autsomal dominant	"OMIM:124200,OMIM:101900,ORPHA:79151,ORPHA:218 	Darier disease"	progressive? Phenotype might be too mild					
ATP5F1D	2	autosomal recessive	OMIM:618120 Mitochondrial complex V (ATP synthase) deficiency	progressive? Limited phenotypic information available					
ATP5MK	2	autosomal recessive	OMIM:618683 Mitochondrial complex V (ATP synthase) deficiency, nuclear type 6	episodic regression					
ATP9A	2	BIALLELIC, autosomal or pseudoautosomal	Global developmental delay;Intellectual disability;Postnatal microcephaly;Failure to thrive;Abnormality of the abdomen	progressive?					
ATR	2	BIALLELIC, autosomal or pseudoautosomal	Seckel syndrome 1, 210600Cutaneous telangiectasia and cancer syndrome, familial, 614564;SECKEL SYNDROME TYPE 1 (SCKL1)	progressive?					
ATRX	2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Alpha-thalassemia/mental retardation syndrome, 301040;Mental retardation-hypotonic facies syndrome, X-linked, 309580	progressive? Seizures not in all patients					
B4GALNT1	2	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 26, autosomal recessive 	slowly progressive					
BAP1	2	autosomal dominant	OMIM:606661,ORPHA:2495,ORPHA:39044,ORPHA:50251,OMIM:614327,ORPHA:528084,OMIM:619762,ORPHA:618	progressive?					
BAZ1B	2	autosomal dominant	ORPHA:904 Williams syndrome	progressive?					
BBS10	2	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 10, 209900;BARDET-BIEDL SYNDROME TYPE 10 (BBS10)	questionable if clinical manifestation is treatable, progressive?					
BBS12	2	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 12, 209900;BARDET-BIEDL SYNDROME TYPE 12 (BBS12)	progressive?					
BBS5	2	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 5, 209900;BARDET-BIEDL SYNDROME TYPE 5 (BBS5)	progressive?					
BBS7	2	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 7, 209900;BARDET-BIEDL SYNDROME TYPE 7 (BBS7)	progressive?					
BBS9	2	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 9, 209900;BARDET-BIEDL SYNDROME TYPE 9 (BBS9)	progressive?					
BCAP31	2	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Deafness, dystonia and cerebellar hypomyelination, 300475;DEAFNESS, DYSTONIA, AND CENTRAL HYPOMYELINATION WITH DISORGANIZATION OF THE GOLGI APPARATUS	progressive?					
BCKDK	2	BIALLELIC, autosomal or pseudoautosomal	Branched-chain ketoacid dehydrogenase kinase deficiency, 614923;Intellectual disability	progressive? Severity of phenotype?					
BCORL1	2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Shukla-Vernon syndrome, 301029	progressive?					
BDNF	2		ORPHA:661,ORPHA:893	different associated disorders					
BEAN1	2	autosomal dominant	OMIM:117210,ORPHA:217012	slowly progressive					
BICD2	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant, OMIM:615290	slowly progressive					
BICRA	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Developmental delay, intellectual disability, autism spectrum disorder,behavioral abnormalities, dysmorphic features	porgressive?					 
BPTF	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies, 617755;intellectual disability	progressive?					
BRAF	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Cardiofaciocutaneous syndrome 115150;Noonan syndrome 7 613706;LEOPARD syndrome 3 613707	different associated disorders, progressive?					
BRAT1	2	BIALLELIC, autosomal or pseudoautosomal	Rigidity and multifocal seizure syndrome, lethal neonatal 614498, OMIM: 618056	progressive?					
BRD4	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Intellectual disability;Microcephaly;Abnormal heart morphology;Abnormality of the face	progressive? Treatable phenotype?					
BRPF1	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Intellectual developmental disorder with dysmorphic facies and ptosis 617333	progressive?					
BRSK2	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Global developmental delay;Autism;Behavioral abnormality;Global developmental delay, Intellectual disability, Autism, Behavioral abnormality;Intellectual disability	not enough cinical information					
BTD	2	BIALLELIC, autosomal or pseudoautosomal	Biotinidase deficiency 253260	progressive?					
BUB1B	2	BIALLELIC, autosomal or pseudoautosomal	Colorectal cancer, somatic, 114500Mosaic variegated aneuploidy syndrome 1, 257300[Premature chromatid separation trait], 176430;MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1; MVA1	progressive?					
BUB3	2	autosomal dominant and recessive	ORPHA:1052	progressive?					
C12orf65	2	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 55, autosomal recessive, OMIM:615035						
C2orf69	2	autosomal recessive	"OMIM:619423 	Combined oxidative phosphorylation deficiency 53"	porgressive, treatable symptoms?					
C4A	2	autosomal recessive	ORPHA:117,OMIM:614380	occasional cases have developmental regression					
C8orf37	2	BIALLELIC, autosomal or pseudoautosomal	Retinitis pigmentosa 64, 614500;Cone-rod dystrophy 16, 614500						
CACNA1C	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Brugada syndrome 3 611875; Timothy syndrome 601005	progressive?					
CACNA1D	2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Primary aldosteronism, seizures, and neurologic abnormalities 615474 AD;Sinoatrial node dysfunction and deafness 614896 AR	progressive?					
CACNA1F	2	x-linked	ORPHA:215,ORPHA:178333,OMIM:300071,ORPHA:1872,OMIM:300476,OMIM:300600	progressive?					
CACNA1G	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 42, 61679						
CACNA1H	2		Hyperaldosteronism, familial, type IV 617027;{Epilepsy, childhood absence, susceptibility to, 6} 611942;{Epilepsy, idiopathic generalized, susceptibility to, 6} 611942	progressive?					
CACNA1I	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurodevelopmental disorder	progressive?					
CACNA2D2	2	BIALLELIC, autosomal or pseudoautosomal	epilepsy;ataxia;developmental delay;cerebellar atrophy	progressive?					
CACNA2D4	2	autosomal recessive	"OMIM:610478,ORPHA:215,ORPHA:1872 	Retinal cone dystrophy 4"	progressive?					
CAMK2A	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Mental retardation, autosomal dominant 53, OMIM:617798;?Mental retardation, autosomal recessive 63, OMIM:618095	progressive?					
CAMK2B	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Mental retardation, autosomal dominant 54, OMIM:617799	progressive?					
CAMK4	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Global developmental delay;Intellectual disability;Autism;Behavioral abnormality;Abnormality of movement;Dystonia;Ataxia;Chorea;Myoclonus	progressive?					
CAMTA1	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Cerebellarataxia, nonprogressive, with mental retardation, 614756	described as progressive in multiple cases					
CAPN1	2	BIALLELIC, autosomal or pseudoautosomal	"Spastic paraplegia 76 autosomal recessive	616907"	slowly progressive					
CAPN15	2	BIALLELIC, autosomal or pseudoautosomal	Oculogastrointestinal neurodevelopmental syndrome, OMIM:619318	extraneuronal manifestations					
CAPRIN1	2	autosomal dominant	Non-specific syndromic intellectual disability	seizures only in subset of patients, treatbale phenotype?					
CARS	2	BIALLELIC, autosomal or pseudoautosomal	Microcephaly, developmental delay, and brittle hair syndrome, OMIM:618891	progressive?					
CARS1	2	autosomal recessive	OMIM:618891,ORPHA:33364 Microcephaly, developmental delay, and brittle hair syndrome	progressive?					
CASK	2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Mental retardation and microcephaly with pontine and cerebellar hypoplasia; FG syndrome 4; Mental retardation, with or without nystagmus;Pontocerebellar Hypoplasia;Mental retardation and microcephaly with pontine and cerebellar hypoplasia, 300749; FG syndrome 4, 300422; Mental retardation, with or without nystagmus, 300422	progressive?					
CASR	2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hypocalciuric hypercalcemia, type I, 145980	progressive?					
CAV1	2	autosomal dominant and recessive	ORPHA:220393,ORPHA:528,OMIM:606721,OMIM:615343,OMIM:612526,ORPHA:220402	progressive?					
CBS	2	BIALLELIC, autosomal or pseudoautosomal	Homocystinuria, B6-responsive and nonresponsive types, 236200;Thrombosis, hyperhomocysteinemic, 236200;CYSTATHIONINE BETA-SYNTHASE DEFICIENCY (CBSD)	extraneuronal manifestations, treatment options in some cases					
CBY1	2	autosomal recessive	ORPHA:475 Joubert syndrome	progressive?					
CC2D2A	2	BIALLELIC, autosomal or pseudoautosomal	COACH syndrome 216360;Joubert syndrome 9 612285	allelic disorder, questionable treatable symptoms					
CDK16	2	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Intellectual disability and spastic paraplegia	phenotype?					
CDK5RAP2	2	autosomal recessive	Microcephaly 3, primary, autosomal recessive ORPHA:2512,OMIM:604804	progressive microcephaly					
CHCHD10	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinal muscular atrophy, Jokela type, OMIM:615048 ORPHA:276435,ORPHA:803,OMIM:616209,ORPHA:457050,OMIM:615048,ORPHA:275872,OMIM:615911	slowly progressive					
CHP1	2	BIALLELIC, autosomal or pseudoautosomal	Spastic ataxia 9, autosomal recessive, OMIM:618438						
CIZ1	2		Dystonia 23, 614860 ORPHA:420492	phenotype?					
CLCN4	2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Raynaud-Claes syndrome 300114;Mental retardation, X-linked 49/15 ORPHA:777,ORPHA:485350,OMIM:300114	can be progressive					
COL4A1	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Porencephaly 1;Variable phenotype - porencephaly, destructive cerebral lesions, eye anomalies, intracerebral calcification OMIM:175780,OMIM:618564,OMIM:180000,OMIM:611773,ORPHA:899,ORPHA:73229	progressive neurological disease but also vascular phenotype					
COX10	2	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV disorder;Mitochondrial Leukoencephalopathy;General Leukodystrophy & Mitochondrial Leukoencephalopathy	has systemic effects, developmental regression					
COX15	2	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy;Mitochondrial complex IV disorders ORPHA:255241,OMIM:615119	systemic phenotype, developmental regression					
COX20	2	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, 220110	slowly progressive					
CTC1	2	BIALLELIC, autosomal or pseudoautosomal	Cerebroretinal microangiopathy with calcifications and cysts, 612199;Coats Plus syndrome OMIM:612199,ORPHA:1775	progressive with cognitive decline, but systemic phenotype					
CTSA	2	autosomal recessive	Galactosialidosis ORPHA:351,OMIM:256540	reported as progressive					
CWF19L1	2	BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 17, 616127 OMIM:616127,ORPHA:453521	slowly progressive					
D2HGDH	2	BIALLELIC, autosomal or pseudoautosomal	L2-Hydroxyglutaric aciduria OMIM:600721	eligible if systemic phenotype is not too severe					
DALRD3	2	autosomal recessive	Developmental and epileptic encephalopathy 86 OMIM:618910,ORPHA:442835	progressive?					
DCAF8	2	autosomal dominant	Giant axonal neuropathy 2, autosomal dominant OMIM:610100						
DDC	2	BIALLELIC, autosomal or pseudoautosomal	Aromatic L-amino acid decarboxylase deficiency, OMIM:608643;Aromatic L-amino acid decarboxylase deficiency, MONDO:0012084;Floppy child;Dystonia;Hypotonia;Developmental delay;Oculogyric crisis	progressive?					
DDHD1	2	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 28, autosomal recessive  ORPHA:101008,OMIM:609340	progressive?					
DENND5A	2	autosomal recessive	Developmental and epileptic encephalopathy 49 OMIM:617281						
DHCR7	2	BIALLELIC, autosomal or pseudoautosomal	Smith-Lemli-Opitz syndrome, ORPHA:818,OMIM:270400	severe extraneuronal manifestation, treatable phenotype? Progressive?					
DHFR	2	BIALLELIC, autosomal or pseudoautosomal	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839;Dihydrofolate reductase deficiency	progressive?					
DOCK6	2	BIALLELIC, autosomal or pseudoautosomal	Adams-Oliver syndrome 2, 614219;intellectual disability, developmental delay OMIM:614219,ORPHA:974						
DOCK8	2	BIALLELIC, autosomal or pseudoautosomal	Mental retardation, autosomal dominant 2, 614113Hyper-IgE recurrent infection syndrome, autosomal recessive, 243700;HYPERIMMUNOGLOBULIN E RECURRENT INFECTION SYNDROME AUTOSOMAL RECESSIVE (AR-HIES) ORPHA:178469,OMIM:243700,ORPHA:217390	CAVE: two disorders associared, mental retardation and an immune defect. Immune defect most likely not eligible					
DPYD	2	BIALLELIC, autosomal or pseudoautosomal	"	5-fluorouracil toxicity	274270; Dihydropyrimidine dehydrogenase deficiency	ORPHA:1675,OMIM:274270,ORPHA:293948"	progressive?					
DYNC1H1	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinal muscular atrophy, lower extremity-predominant 1, AD, OMIM:158600, Charcot-Marie-Tooth disease, axonal, type 20, Mental retardation, autosomal dominant 13 ORPHA:178469,OMIM:158600,OMIM:614228,OMIM:614563	slowly progressive phenotype					
DYNC1I2	2	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with microcephaly and structural brain anomalies, OMIM:618492	severe phenotype, progressive?					
EEF2	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 26 ORPHA:101112,OMIM:609306	slowly progressive					
EHMT1	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Kleefstra syndrome ORPHA:96147,OMIM:610253,ORPHA:261652	possibly progressive					
EIF3F	2	BIALLELIC, autosomal or pseudoautosomal	Mental retardation, autosomal recessive 67, OMIM:618295	severe phenotype, many extraneuronal symptoms					
ENTPD1	2	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 64, autosomal recessive, ORPHA:401810,OMIM:615683	gradual progression					
ERMARD	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	ORPHA:75857,ORPHA:98892,OMIM:615544	only one report in OMIM					
FAR1	2	BIALLELIC, autosomal or pseudoautosomal	Peroxisomal fatty acyl-CoA reductase 1 disorder, OMIM:619338,ORPHA:447753,ORPHA:438178,OMIM:616154	progressive?					
FGF14	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 27  ORPHA:98764,OMIM:193003	slowly progressive					
FLVCR1	2	BIALLELIC, autosomal or pseudoautosomal	Ataxia, posterior column, with retinitis pigmentosa, ;Posterior Column Ataxia with Retinitis Pigmentosa  ORPHA:88628,OMIM:609033	slowly progressive					
FOXP2	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	 Speech-language disorder-1 602081 ORPHA:209908,OMIM:602081	progressive?					
FUCA1	2	BIALLELIC, autosomal or pseudoautosomal	Fucosidosis;General Leukodystrophy & Mitochondrial Leukoencephalopathy OMIM:230000,ORPHA:349	extraneuronal phenotype, stem cell treatment early on can lead to improvement					
GABBR2	2	autosomal dominant	Developmental and epileptic encephalopathy 59 ORPHA:442835,ORPHA:3095,OMIM:617904,OMIM:617903	progressive?					
GABRB2	2	autosomal dominant	Developmental and epileptic encephalopathy 92 ORPHA:442835,OMIM:617829	progressive?					
GABRB3	2	autosomal dominant	Developmental and epileptic encephalopathy 43 OMIM:617113,ORPHA:64280,OMIM:612269,ORPHA:2382	progressive?					
GALNT2	2	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type IIt 618885	progressive?					
GAN	2	autosomal recessive	Giant axonal neuropathy-1 ORPHA:643,OMIM:256850	slowly progressive					
GBE1	2	BIALLELIC, autosomal or pseudoautosomal	Polyglucosan body disease, adult form, OMIM:263570;General Leukodystrophy & Mitochondrial Leukoencephalopathy OMIM:232500,ORPHA:206583,OMIM:263570	slowly progressive					
GFER	2	autosomal recessive 	Myopathy, mitochondrial progressive, with congenital cataract and developmental delayORPHA:330054,OMIM:613076	systemic phenotype					
GJB1	2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	"Charcot-Marie-Tooth neuropathy, X-linked dominant, 1	302800 ORPHA:1175,OMIM:302800,ORPHA:101075"	slow progression					
GLRA1	2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hyperekplexia, hereditary 1, ORPHA:3197,OMIM:149400	progressive?					
GNE	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Sialuria, ORPHA:3166,OMIM:605820,OMIM:269921,ORPHA:602	progressive?					
GNPTAB	2	autosomal recessive	Mucolipidosis II alpha/beta, Mucolipidosis III alpha/beta OMIM:252600,ORPHA:576,OMIM:252500	extraneuronal manifestations but neuronal manifestations can be treatable					
GNS	2	autosomal recessive	Mucopolysaccharidosis type IIID OMIM:252940	slowing mental development					
GOSR2	2	BIALLELIC, autosomal or pseudoautosomal	Epilepsy, progressive myoclonic 6, 614018						
GOT2	2	autosomal recessive	Developmental and epileptic encephalopathy 82 OMIM:618721	progressive?					
GPAA1	2	BIALLELIC, autosomal or pseudoautosomal	Glycosylphosphatidylinositol biosynthesis defect 15, OMIM:617810,ORPHA:529665	progressive in some patients					
